ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Speaker_Area,Feature_IDs,Glottolog_Languoid_Level,Family
dyab1238,Dyaberdyaber,,-17.18653,122.52306,dyab1238,,languages,181,language,Nyulnyulan
dyan1250,Dyangadi,,-30.8469,152.602,dyan1250,,languages,311,language,Pama-Nyungan
dyir1250,Dyirbal,,-17.4516,145.544,dyir1250,,languages,240,language,Pama-Nyungan
dyug1238,Dyugun,,-17.906,122.408,dyug1238,,languages,347,language,Nyulnyulan
east2379,Eastern Arrernte,,-23.3583,135.046,east2379,,languages,280 282,language,Pama-Nyungan
erre1238,Erre,,-12.2839,132.868,erre1238,,languages,321,language,Giimbiyu
flin1247,Flinders Island,,-14.1812,144.259,flin1247,,languages,55,language,Pama-Nyungan
gadj1243,Gajirrabeng,,-15.4786,129.156,gadj1243,,languages,316,language,Jarrakan
gaga1251,Gaagudju,,-12.5176,132.643,gaga1251,,languages,122 417,language,
gamb1251,Gambera,,-14.29546,126.27131,gamb1251,,languages,188,language,Worrorran
gami1243,Yuwaalaraay-Gamilaraay,,-29.9037,149.543,gami1243,,languages,264 265 266,language,Pama-Nyungan
gana1268,Birrdhawal,,-37.05,148.93,gana1268,,languages,340,language,Pama-Nyungan
gana1278,Ganai,,-38.58,146.5,gana1278,,languages,339 341 342 344,language,Pama-Nyungan
gang1267,Ganggalida,,-17.5446,139.426,gang1267,,languages,136,language,Tangkic
gang1268,Gangulu,,-22.7637,149.416,gang1268,,languages,229,language,Pama-Nyungan
gara1269,Garrwa,,-17.4504,137.72014,gara1269,,languages,319,language,Garrwan
gari1253,Garig-Ilgar,,-11.412,132.182,gari1253,,languages,307 308,language,Iwaidjan Proper
giya1234,Giya,,-20.40181798643,148.46292086792,giya1234,,languages,358 499,language,Pama-Nyungan
giyu1238,Giyug,,-13.2001,130.092,giyu1238,,languages,213,language,Unattested
goon1238,Gooniyandi,,-18.4073,126.351,goon1238,,languages,257,language,Bunaban
guda1244,Gudang,,-10.91613599,142.5768928,guda1244,,languages,66 95,language,Pama-Nyungan
gudj1237,Gudjal,,-19.44157406,144.6482584,gudj1237,,languages,353 422,language,Pama-Nyungan
guga1239,Gugadj,,-17.8372,141.168,guga1239,,languages,87,language,Pama-Nyungan
gugu1254,Gugubera,,-15.4296,141.635,gugu1254,,languages,158 522,language,Pama-Nyungan
gugu1255,Guugu Yimidhirr,,-14.9424,144.831,gugu1255,,languages,56,language,Pama-Nyungan
gung1248,Gungabula,,-25.6896,148.604,gung1248,,languages,35,language,Pama-Nyungan
gunw1252,Bininj Kun-Wok,,-12.3398,133.358,gunw1252,,languages,327,language,Gunwinyguan
guny1241,Gunya,,-27.0642,145.862,guny1241,,languages,40,language,Pama-Nyungan
gura1252,Guragone,,-12.66855,134.09501,gura1252,,languages,379,language,Maningrida
gurd1238,Gurdjar,,-17.1653,141.145,gurd1238,,languages,153,language,Pama-Nyungan
gure1255,Gureng Gureng,,-25.3893,151.175,gure1255,,languages,99 101,language,Pama-Nyungan
guri1247,Gurindji,,-17.0329,130.379,guri1247,,languages,442 443,language,Pama-Nyungan
guwa1242,Guwa,,-21.35147706,142.5243782,guwa1242,,languages,302,language,Pama-Nyungan
guwa1243,Guwamu,,-27.8289,148.867,guwa1243,,languages,39,language,Pama-Nyungan
guwa1244,Guwar,,-27.16698973,153.3998245,guwa1244,,languages,115,language,Pama-Nyungan
guya1249,Guyani,,-29.7663,137.3943,guya1249,,languages,114,language,Pama-Nyungan
hawk1239,Hawkesbury,,-33.11470744,150.4952383,hawk1239,,languages,310,language,Pama-Nyungan
ikar1243,Ikaranggal,,-15.538,143.349,ikar1243,,languages,472 514,language,Pama-Nyungan
iwai1244,Iwaidja,,-11.3379,132.453,iwai1244,,languages,304,language,Iwaidjan Proper
jaru1254,Jaru,,-18.3288,128.262,jaru1254,,languages,444 446,language,Pama-Nyungan
kabi1260,Kabikabi,,-25.44486229,153.1539929,kabi1260,,languages,100,language,Pama-Nyungan
kala1377,Kala Lagaw Ya,,-10.6748,142.196,kala1377,,languages,177 206 207,language,Pama-Nyungan
kala1379,Kalarko-Mirniny,,-31.7154,118.911,kala1379,,languages,1 152,language,Pama-Nyungan
kala1380,Bulloo River,,-28.136,143.929,kala1380,,languages,299,language,Pama-Nyungan
kala1401,Kalaamaya,,-30.245,120.223,kala1401,,languages,383,language,Pama-Nyungan
kalk1246,Kalkatungu,,-21.0,139.5,kalk1246,,languages,318,language,Pama-Nyungan
kamu1258,Kamu,,-13.5393,131.098,kamu1258,,languages,235 478,language,Eastern Daly
kanj1260,Kanju,,-13.3243,142.893,kanj1260,,languages,30 523,language,Pama-Nyungan
kara1476,Karadjeri,,-18.6771,122.334,kara1476,,languages,366,language,Pama-Nyungan
kari1304,Kariyarra,,-20.445,118.613,kari1304,,languages,15,language,Pama-Nyungan
karr1236,Karruwali,,-25.833018,140.026291,karr1236,,languages,296,language,Pama-Nyungan
kaur1267,Kaurna,,-34.34966141,138.4800794,kaur1267,,languages,144,language,Pama-Nyungan
kawa1290,Kawarrang-Ogh Undjan,,-16.1,142.5,kawa1290,,languages,451 475,language,Pama-Nyungan
kaya1319,Kayardild,,-17.0695,139.489,kaya1319,,languages,135,language,Tangkic
kayt1238,Kaytetye,,-21.5844,133.602,kayt1238,,languages,278,language,Pama-Nyungan
kitj1240,Kitja,,-17.5758,127.392,kitj1240,,languages,314,language,Jarrakan
koka1244,Kokata,,-29.94,135.55,koka1244,,languages,232,language,Pama-Nyungan
kokn1236,Kok-Nar,,-16.181,141.608,kokn1236,,languages,155,language,Pama-Nyungan
koko1272,Koko Dhawa,,-16.050900536399,141.80615325644,koko1272,,languages,516,language,Pama-Nyungan
koko1273,Koko Babangk,,-15.82602,141.48016,koko1273,,languages,476,language,Bookkeeping
kuka1246,Kukatja,,-20.3321,127.666,kuka1246,,languages,81,language,Pama-Nyungan
kuku1273,Kuku-Yalanji,,-16.0036,145.188,kuku1273,,languages,162,language,Pama-Nyungan
kumb1268,Kumbainggar,,-29.8189,152.913,kumb1268,,languages,323 325,language,Pama-Nyungan
kunb1251,Kunbarlang,,-11.9133,133.723,kunb1251,,languages,328,language,Gunwinyguan
kung1258,Kunggari,,-24.2182,143.222,kung1258,,languages,36,language,Pama-Nyungan
kung1259,Kungarakany,,-12.7,130.881,kung1259,,languages,418,language,
kunj1245,Kunjen,,-16.6807,143.53,kunj1245,,languages,154 474 513 517 521,language,Pama-Nyungan
kurr1243,Kurrama,,-22.2134,117.51,kurr1243,,languages,13,language,Pama-Nyungan
kuth1240,Kuthant,,-17.4566,140.958,kuth1240,,languages,151 447,language,Pama-Nyungan
kuuk1238,Kuuku-Ya'u,,-12.4947,143.165,kuuk1238,,languages,27,language,Pama-Nyungan
kuuk1243,Kuuk-Yak,,-14.810589,141.788992,kuuk1243,,languages,462,language,Pama-Nyungan
kuun1236,Kuungkari of Barcoo River,,-24.75108713,143.5365228,kuun1236,,languages,402,language,Pama-Nyungan
kwin1241,Kwini,,-14.2515,126.562,kwin1241,,languages,186,language,Worrorran
lamu1254,Lamalama,,-14.559,143.977,lamu1254,,languages,398,language,Pama-Nyungan
lara1258,Laragia,,-12.4111,130.922,lara1258,,languages,367,language,
lard1243,Lardil,,-16.56152,139.4343,lard1243,,languages,133,language,Tangkic
leni1238,Linngithigh,,-12.771375,141.962,leni1238,,languages,70,language,Pama-Nyungan
lowe1402,Lower Riverland,,-34.6,140.5,lowe1402,,languages,370 375,language,Pama-Nyungan
lowe1403,Lower Darling-Lower Lachlan,,-33.9470874,141.5854211,lowe1403,,languages,372,language,Pama-Nyungan
lowe1436,Lower Southern Aranda,,-26.3,135.4,lowe1436,,languages,277,language,Pama-Nyungan
lowe1444,Lower Richmond,,-28.937029,153.48612,lowe1444,,languages,509,language,Pama-Nyungan
madn1237,Madngele,,-13.9479,130.6,madn1237,,languages,234,language,Eastern Daly
malg1242,Malgana,,-26.211,114.245,malg1242,,languages,411,language,Pama-Nyungan
mand1417,Mandandanyi,,-26.573,148.978,mand1417,,languages,224,language,Pama-Nyungan
mang1381,Mangarrayi,,-14.8,133.5,mang1381,,languages,420,language,Mangarrayi-Maran
mang1382,Mangerr,,-12.2391,132.973,mang1382,,languages,322,language,Giimbiyu
mang1383,Mangala,,-18.6597,123.769,mang1383,,languages,18,language,Pama-Nyungan
mara1385,Marra,,-14.7927,134.865,mara1385,,languages,363,language,Mangarrayi-Maran
mara1386,Maranunggu,,-13.6754,130.12,mara1386,,languages,211 480,language,Western Daly
marg1251,Margu,,-11.1823,132.587,marg1251,,languages,305,language,Marrku-Wurrugu
marg1253,Margany,,-26.789,144.892,marg1253,,languages,42,language,Pama-Nyungan
mari1417,Marimanindji,,-14.1788,130.561,mari1417,,languages,209,language,Western Daly
mari1419,Maringarr,,-14.3819,130.25,mari1419,,languages,212,language,Western Daly
mari1421,Maridjabin,,-13.8754,129.844,mari1421,,languages,484,language,Western Daly
mari1422,Maridan,,-14.0542,130.079,mari1422,,languages,485,language,Western Daly
mari1424,Marithiel,,-13.8818,130.237,mari1424,,languages,210 483,language,Western Daly
mart1254,Marti Ke,,-14.0058,129.837,mart1254,,languages,208,language,Western Daly
mart1255,Martuthunira,,-20.9294,116.607,mart1255,,languages,9,language,Pama-Nyungan
mart1256,Martu Wangka,,-23.350911655789,123.66842240336,mart1256,,languages,82 220 223 429 430,language,Pama-Nyungan
maun1240,Mawng,,-11.66,133.376,maun1240,,languages,303,language,Iwaidjan Proper
maya1280,Mayaguduna,,-18.1147,140.337,maya1280,,languages,22,language,Pama-Nyungan
mayk1239,Maykulan,,-20.4352,140.481,mayk1239,,languages,17 19 21 24,language,Pama-Nyungan
mbab1239,Mbabaram,,-20.1389,143.438,mbab1239,,languages,57,language,Pama-Nyungan
mbar1253,Rimanggudhinma,,-14.529,143.789,mbar1253,,languages,467,language,Pama-Nyungan
mbar1254,Mbara-Yanga,,-19.29,142.475904,mbar1254,,languages,148,language,Pama-Nyungan
mbiy1238,Mbiywom,,-12.89620501,142.2710997,mbiy1238,,languages,65,language,Pama-Nyungan
midd1357,Middle Clarence Bandjalang,,-29.042737,152.780249,midd1357,,languages,508,language,Pama-Nyungan
mink1237,Minkin,,-17.736653,139.541931,mink1237,,languages,138,language,
miri1266,Miriwung,,-16.3596,128.889,miri1266,,languages,313,language,Jarrakan
mith1236,Mithaka,,-25.13606725,139.598447,mith1236,,languages,295,language,Pama-Nyungan
mpal1237,Mpalityanh-Luthigh,,-12.16733589,142.4853284,mpal1237,,languages,71 90 96,language,Pama-Nyungan
mudb1240,Mudburra,,-16.7694,132.329,mudb1240,,languages,433 441,language,Pama-Nyungan
mull1237,Mullukmulluk,,-13.427,130.664,mull1237,,languages,80,language,Northern Daly
mulu1243,Muluridyi,,-17.0601,145.329,mulu1243,,languages,191,language,Pama-Nyungan
murr1258,Murriny Patha,,-14.74852,129.70152,murr1258,,languages,150,language,Southern Daly
muru1266,Muruwari,,-28.9618,146.546,muru1266,,languages,41,language,Pama-Nyungan
naka1260,Nakara,,-12.07653,134.32729,naka1260,,languages,380,language,Maningrida
nang1259,Nangikurrunggurr,,-14.268,131.237,nang1259,,languages,149 482,language,Southern Daly
narr1259,Narrinyeri,,-36.2301,140.158,narr1259,,languages,373 376 378,language,Pama-Nyungan
naru1238,Narungga,,-34.69,137.535,naru1238,,languages,143,language,Pama-Nyungan
nauo1235,Nauo,,-33.79661078,135.828014,nauo1235,,languages,140,language,Pama-Nyungan
ngaa1240,Ngaanyatjarra,,-25.7514,127.602,ngaa1240,,languages,487 489,language,Pama-Nyungan
ngad1257,Ngadjuri,,-32.930160660336,139.08123163651,ngad1257,,languages,137,language,Pama-Nyungan
ngad1258,Ngadjunmaya,,-32.02447,124.46601,ngad1258,,languages,2,language,Pama-Nyungan
ngal1292,Ngalkbun,,-13.9783,133.936,ngal1292,,languages,330,language,Gunwinyguan
ngal1293,Ngalakgan,,-14.4281,134.716,ngal1293,,languages,61,language,Gunwinyguan
ngam1265,Ngamini-Yarluyandi-Karangura,,-27.1797,138.701,ngam1265,,languages,297 405 406,language,Pama-Nyungan
ngan1295,Ngandi,,-12.8448,134.649,ngan1295,,languages,246,language,Gunwinyguan
ngan1296,Nganyaywana,,-29.581,151.313,ngan1296,,languages,44 450,language,Pama-Nyungan
ngar1235,Ngarinman,,-15.4661,130.651,ngar1235,,languages,435 439 440,language,Pama-Nyungan
ngar1283,Ngarnka,,-17.42,134.73,ngar1283,,languages,238,language,Mirndi
ngar1284,Ngarinyin,,-16.4006,126.433,ngar1284,,languages,3 4 6,language,Worrorran
ngar1286,Ngarla on the Ashburton river south of the Hamersley range,,-20.37356,118.82594,ngar1286,,languages,432,language,Bookkeeping
ngar1287,Ngarluma,,-20.9235,117.203,ngar1287,,languages,5 8,language,Pama-Nyungan
ngar1288,Ngardi,,-21.0231,129.0308,ngar1288,,languages,427,language,Pama-Nyungan
ngaw1240,Ngawun,,-19.4484,141.471,ngaw1240,,languages,20,language,Pama-Nyungan
ngum1253,Ngumbarl,,-17.491239,122.230025,ngum1253,,languages,349,language,Nyulnyulan
ngur1260,Ngurmbur,,-12.6483,132.508,ngur1260,,languages,121 123,language,Unattested
ngur1261,Wilson River (Grey Range),,-27.58,142.45,ngur1261,,languages,407 408 412,language,Pama-Nyungan
nhan1238,Nhanda,,-27.42523643,114.2680442,nhan1238,,languages,84 88 386,language,Pama-Nyungan
nhuw1239,Nhuwala,,-21.38154,115.74542,nhuw1239,,languages,10,language,Pama-Nyungan
nija1241,Nyiyaparli-Palyku,,-22.8558,120.831,nija1241,,languages,11,language,Pama-Nyungan
nima1245,Nimanbur,,-17.374,123.228,nima1245,,languages,178,language,Nyulnyulan
nort2756,Northern Sunraysia,,-34.190056,142.273631,nort2756,,languages,203 369,language,Pama-Nyungan
nort2760,Northern Inland Yuin,,-34.85,149.1,nort2760,,languages,172 174,language,Pama-Nyungan
nucl1327,Limilngan,,-12.4294,131.845,nucl1327,,languages,268,language,Limilngan-Wulna
nugu1241,Nugunu (Australia),,-32.6655,138.0567,nugu1241,,languages,142,language,Pama-Nyungan
nung1290,Wubuy,,-14.2623,135.753,nung1290,,languages,244,language,Gunwinyguan
nung1291,Nungali,,-14.9109,131.641,nung1291,,languages,205,language,Mirndi
nyam1271,Nyamal,,-21.6092,119.693,nyam1271,,languages,14,language,Pama-Nyungan
nyan1301,Nyangumarta,,-20.6271,121.391,nyan1301,,languages,365,language,Pama-Nyungan
nyaw1247,Nyawaygi,,-18.8743,146.216,nyaw1247,,languages,243,language,Pama-Nyungan
nyig1240,Nyigina,,-17.9594,124.348,nyig1240,,languages,348,language,Nyulnyulan
nyul1247,Nyulnyul,,-16.9129,122.851,nyul1247,,languages,176,language,Nyulnyulan
nyun1247,Nyunga,,-33.1199,118.151,nyun1247,,languages,45 46 47 48 83 85 86 129 130 131 132 134,language,Pama-Nyungan
olko1234,Olkol,,-15.2,142.4,olko1234,,languages,453,language,Bookkeeping
paka1251,Pakanha,,-15.0908,142.74,paka1251,,languages,461,language,Pama-Nyungan
pall1243,Pallanganmiddang,,-36.08,146.91,pall1243,,languages,346,language,Pama-Nyungan
pany1241,Panytyima,,-22.7816,118.723,pany1241,,languages,12,language,Pama-Nyungan
pimp1234,Pimpama,,-27.821692,153.304503,pimp1234,,languages,506,language,Pama-Nyungan
pini1244,Pinigura,,-22.4729,116.538,pini1244,,languages,288,language,Pama-Nyungan
pini1245,Lake Carnegie Western Desert,,-27.11796,120.56642,pini1245,,languages,488,language,Pama-Nyungan
pint1250,Pintupi-Luritja,,-23.2963,130.643,pint1250,,languages,218,language,Pama-Nyungan
pint1251,Pintiini,,-29.806,127.632,pint1251,,languages,214,language,Pama-Nyungan
pirl1238,Pirlatapa,,-29.524,139.77,pirl1238,,languages,400,language,Pama-Nyungan
pirr1240,Pirriya,,-25.48006595,142.5485119,pirr1240,,languages,404,language,Pama-Nyungan
pitj1243,Pitjantjatjara,,-26.9704,131.357,pitj1243,,languages,216 219,language,Pama-Nyungan
pitt1247,Pitta Pitta,,-22.7952,139.983,pitt1247,,languages,291 293,language,Pama-Nyungan
remb1249,Rembarrnga,,-12.9608,134.308,remb1249,,languages,64,language,Gunwinyguan
rita1239,Ritharrngu,,-13.4559,135.259,rita1239,,languages,43,language,Pama-Nyungan
sout2770,Southern Inland Yuin,,-36.30008261,148.7238073,sout2770,,languages,169 502,language,Pama-Nyungan
sout2771,Southern Coastal Yuin,,-37.06227181,149.7169306,sout2771,,languages,170 175,language,Pama-Nyungan
sydn1236,Sydney,,-33.52925837,150.3490464,sydn1236,,languages,309 312,language,Pama-Nyungan
taga1279,Tagalaka,,-18.1973276258,142.96122717197,taga1279,,languages,470,language,Pama-Nyungan
thay1248,Thaypan,,-14.8292,143.324,thay1248,,languages,60,language,Pama-Nyungan
thay1249,Thayore,,-14.8159,142.034,thay1249,,languages,463,language,Pama-Nyungan
thii1234,Thiin,,-23.71156576435,116.68011572516,thii1234,,languages,317 381,language,Pama-Nyungan
thur1254,Thurawal,,-34.634,150.721,thur1254,,languages,171,language,Pama-Nyungan
tiwi1244,Tiwi,,-11.6308,130.949,tiwi1244,,languages,416,language,
tjur1240,Tjurruru,,-22.842,118.267,tjur1240,,languages,16,language,Pama-Nyungan
twee1234,Tweed-Albert,,-28.028726,153.286993,twee1234,,languages,510,language,Pama-Nyungan
tyan1235,Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit,,-12.544,141.984,tyan1235,,languages,77 94,language,Pama-Nyungan
tyar1236,Tyaraity,,-12.4868,130.676,tyar1236,,languages,481,language,Northern Daly
umbi1243,Umbindhamu,,-13.921,143.328,umbi1243,,languages,465,language,Pama-Nyungan
umbu1235,Umbugarla,,-12.9325,131.825,umbu1235,,languages,124 126,language,
umbu1256,Umbuygamu,,-14.25876,143.6305,umbu1256,,languages,466,language,Pama-Nyungan
umii1235,Umiida-Unggarangu,,-16.559333,124.5,umii1235,,languages,182 187,language,Worrorran
umpi1239,Umpila,,-13.1528,143.467,umpi1239,,languages,67,language,Pama-Nyungan
ungg1243,Unggumi,,-15.65,124.67,ungg1243,,languages,183,language,Worrorran
uppe1415,Upper Riverland,,-34.098823177692,140.99932761004,uppe1415,,languages,371 503,language,Pama-Nyungan
urad1239,Uradhi,,-12.0679,142.135,urad1239,,languages,75,language,Bookkeeping
urni1239,Urningangg,,-13.4766,133.023,urni1239,,languages,324,language,Giimbiyu
uwin1234,Uwinymil,,-12.8,131.7,uwin1234,,languages,332,language,Gunwinyguan
wadj1254,Wadjiginy,,-12.8596,130.737,wadj1254,,languages,272 479,language,
wadj1255,Wadjigu,,-23.8029,147.421,wadj1255,,languages,226 253 494 496,language,Pama-Nyungan
waga1260,Wagaya,,-20.329,137.623,waga1260,,languages,110,language,Pama-Nyungan
wage1238,Wageman,,-13.8627,131.893,wage1238,,languages,415,language,
waja1257,Wajarri,,-28.1761,117.153,waja1257,,languages,388,language,Pama-Nyungan
waka1274,Wakawaka,,-26.248,151.868,waka1274,,languages,97 98 102 128,language,Pama-Nyungan
wala1263,Walangama,,-17.60243295,142.4891266,wala1263,,languages,468,language,Pama-Nyungan
walm1241,Walmajarri-Juwaliny,,-19.7229,126.113,walm1241,,languages,436 445,language,Pama-Nyungan
wamb1258,Wambayan,,-17.496,135.683,wamb1258,,languages,335 336 338,language,Mirndi
wami1239,Wamin,,-18.3727,143.943,wami1239,,languages,146 469,language,Pama-Nyungan
wand1263,Wandarang,,-14.2996,135.705,wand1263,,languages,364,language,Mangarrayi-Maran
wang1289,Wanggamala,,-24.7022,137.433,wang1289,,languages,294,language,Pama-Nyungan
wang1290,Wangganguru,,-25.8148,135.941,wang1290,,languages,298,language,Pama-Nyungan
wang1291,Ngiyambaa,,-30.6481,146.18,wang1291,,languages,263 269,language,Pama-Nyungan
wanm1242,Wanman,,-22.7078,122.325,wanm1242,,languages,215,language,Pama-Nyungan
wany1247,Wanyi,,-18.6529,137.608,wany1247,,languages,320,language,Garrwan
wara1290,Warray,,-13.0941,131.236,wara1290,,languages,334,language,Gunwinyguan
ward1246,Wardaman,,-15.4155,132.604,ward1246,,languages,104,language,Yangmanic
wari1262,Wariyangga,,-24.353,116.927,wari1262,,languages,351,language,Pama-Nyungan
warl1254,Warlpiri,,-20.1008,131.05,warl1254,,languages,437,language,Pama-Nyungan
warl1255,Warlmanpa,,-18.949,133.862,warl1255,,languages,438,language,Pama-Nyungan
warl1256,Warluwara,,-22.2909,138.738,warl1256,,languages,105,language,Pama-Nyungan
warr1255,Warrgamay,,-18.5468,146.179,warr1255,,languages,242,language,Pama-Nyungan
warr1257,Warrnambool,,-38.155612905976,141.53965852318,warr1257,,languages,199,language,Pama-Nyungan
warr1258,Warrwa,,-17.0965,123.971,warr1258,,languages,350,language,Nyulnyulan
waru1264,Warrongo,,-18.2496,144.37,waru1264,,languages,419,language,Pama-Nyungan
waru1265,Warumungu,,-20.6479,134.375,waru1265,,languages,111,language,Pama-Nyungan
wath1238,Wathawurrung,,-37.68777565,144.1013148,wath1238,,languages,392,language,Pama-Nyungan
west2441,Western Arrarnta,,-24.05052,133.24621,west2441,,languages,279,language,Pama-Nyungan
west2443,Western Victoria,,-34.13829932,143.6694397,west2443,,languages,192 193 194 196 197 198 200 201 222,language,Pama-Nyungan
wika1238,Wikalkan,,-13.6835,141.557,wika1238,,languages,455 456 459,language,Pama-Nyungan
wike1239,Wik-Epa,,-13.846,141.858,wike1239,,languages,458,language,Pama-Nyungan
wiki1239,Wik-Iiyanh,,-14.1273,142.781,wiki1239,,languages,520,language,Pama-Nyungan
wikm1246,Wik-Me'anha,,-14.058,141.925,wikm1246,,languages,460,language,Pama-Nyungan
wikm1247,Wik-Mungkan,,-13.98051,141.81611,wikm1247,,languages,31,language,Pama-Nyungan
wikn1245,Wik-Ngathana,,-13.8691,141.532,wikn1245,,languages,457,language,Pama-Nyungan
wikn1246,Wikngenchera,,-13.4957,141.599,wikn1246,,languages,29,language,Pama-Nyungan
winj1235,Winjarumi,,-15.355178,124.539184,winj1235,,languages,486,language,Worrorran
wira1262,Wiradhuri,,-34.0742,145.994,wira1262,,languages,262,language,Pama-Nyungan
wira1265,Wirangu,,-32.0,134.0,wira1265,,languages,113,language,Pama-Nyungan
